amp-wp-title,amp-wp-title href,large-screen-excerpt
Satara to Nanded,https://bustimings.in/msrtc/satara-nanded/amp/,Dep. Time Route Name Bus service type 07:30 SATARA to NANDED ORDINARY EXPRESS
Jalna to Washim,https://bustimings.in/msrtc/jalna-washim/amp/,Dep. Time Route Name Bus service type 04:30 CIDCO AURANGABAD to WASHIM via RISOD ORDINARY EXPRESS 05:00 NASIK CBS to…
Gadchiroli to Chandrapur,https://bustimings.in/msrtc/gadchiroli-chandrapur/amp/,Dep. Time Route Name Bus service type 06:30 GADCHIROLI to CHANDRAPUR via UPARI ORDINARY EXPRESS 06:45 GADCHIROLI to UMARKHED ORDINARY…
Ratnagiri to Satara,https://bustimings.in/msrtc/ratnagiri-satara/amp/,"Dep. Time Route Name Bus service type 06:00 RATNAGIRI to PUNE RLY. STN. SEMI LUXURY 11:00 RATNAGIRI to SWARGATE, PUNE…"
Kolhapur to Sangli,https://bustimings.in/msrtc/kolhapur-sangli/amp/,Dep. Time Route Name Bus service type 07:00 KOLHAPUR to ATPADI DAY ORDINARY 10:50 KOLHAPUR to ATPADI DAY ORDINARY 11:40…
Washim to Hingoli,https://bustimings.in/msrtc/washim-hingoli/amp/,Dep. Time Route Name Bus service type 05:30 AMRAVATI to KANDHAR ORDINARY EXPRESS 06:00 AMRAVATI to PANDHARPUR DAY ORDINARY 06:30…
Washim to Pune,https://bustimings.in/msrtc/washim-pune/amp/,Dep. Time Route Name Bus service type 08:30 PUSAD to CHINCHWAD ORDINARY EXPRESS 17:00 YAVATMAL to CHINCHWAD via WASHIM SEMI…
Latur to Parbhani,https://bustimings.in/msrtc/latur-parbhani/amp/,Dep. Time Route Name Bus service type 05:30 LATUR to KALAMNOORI DAY ORDINARY 05:30 LATUR to PARBHANI via AMBAJOGAI ORDINARY…
Solapur to Ratnagiri,https://bustimings.in/msrtc/solapur-ratnagiri/amp/,Dep. Time Route Name Bus service type 17:45 AKKALKOT MANDIR to RAHATAGHAR NIGHT EXPRESS
Satara to Kolhapur,https://bustimings.in/msrtc/satara-kolhapur/amp/,Dep. Time Route Name Bus service type 04:00 PUNE RLY. STN. to SAWANTWADI DAY ORDINARY 06:30 PHALTAN to JYOTIBA ORDINARY…
Kolhapur to Thane,https://bustimings.in/msrtc/kolhapur-thane/amp/,Dep. Time Route Name Bus service type 06:15 KOLHAPUR to BOISAR via HIGHWAY DAY ORDINARY 08:15 KOLHAPUR to NALASOPARA via…
Solapur to Nanded,https://bustimings.in/msrtc/solapur-nanded/amp/,Dep. Time Route Name Bus service type 06:00 SOLAPUR to NANDED via AUSA ORDINARY EXPRESS 06:30 PANDHARPUR to BHOKAR via…
Latur to Satara,https://bustimings.in/msrtc/latur-satara/amp/,Dep. Time Route Name Bus service type 06:15 AUSA to SATARA via BARSHI ORDINARY EXPRESS 07:00 LATUR to MEDHA DAY…
Thane to Pune,https://bustimings.in/msrtc/thane-pune/amp/,Dep. Time Route Name Bus service type 05:15 THANE CBS to PANDHARPUR via CHINCHWAD DAY ORDINARY 06:00 THANE CBS to…
Latur to Ratnagiri,https://bustimings.in/msrtc/latur-ratnagiri/amp/,"Sorry, no buses found in this route"
Yavatmal to Washim,https://bustimings.in/msrtc/yavatmal-washim/amp/,Dep. Time Route Name Bus service type 06:00 NAGPUR to AURANGABAD via YAVATMAL ORDINARY EXPRESS 06:45 CHANDRAPUR to RISOD DAY…
Sangli to Jalna,https://bustimings.in/msrtc/sangli-jalna/amp/,Dep. Time Route Name Bus service type 18:45 KOLHAPUR to JALNA NIGHT EXPRESS
Parbhani to Nanded,https://bustimings.in/msrtc/parbhani-nanded/amp/,Dep. Time Route Name Bus service type 07:00 CIDCO AURANGABAD to DHARMABAD ORDINARY EXPRESS 09:00 PARBHANI to HYDERABAD DAY ORDINARY
Palghar to Pune,https://bustimings.in/msrtc/palghar-pune/amp/,"Dep. Time Route Name Bus service type 08:45 PALGHAR to SWARGATE, PUNE via THANE SEMI LUXURY 12:30 PALGHAR to SWARGATE,…"
Thane to Sangli,https://bustimings.in/msrtc/thane-sangli/amp/,Dep. Time Route Name Bus service type 06:45 THANE CBS to MIRAJ via RABALE ORDINARY EXPRESS
Satara to Nasik,https://bustimings.in/msrtc/satara-nasik/amp/,Dep. Time Route Name Bus service type 06:00 MIRAJ to NASIK CBS SEMI LUXURY 06:45 PALUS to NASIK CBS ORDINARY…
Pune to Washim,https://bustimings.in/msrtc/pune-washim/amp/,Dep. Time Route Name Bus service type 06:45 CHINCHWAD to PUSAD ORDINARY EXPRESS 14:30 CHINCHWAD to YAVATMAL via WASHIM SEMI…
Dhule to Yavatmal,https://bustimings.in/msrtc/dhule-yavatmal/amp/,Dep. Time Route Name Bus service type 08:00 DHULE to YAVATMAL ORDINARY EXPRESS
Nasik to Hingoli,https://bustimings.in/msrtc/nasik-hingoli/amp/,Dep. Time Route Name Bus service type 04:00 NASIK CBS to KALAMNOORI via AURANGABAD DAY ORDINARY 15:30 MUMBAI CENTRAL to…
Wardha to Nanded,https://bustimings.in/msrtc/wardha-nanded/amp/,Dep. Time Route Name Bus service type 05:00 NAGPUR to KANDHAR ORDINARY EXPRESS 06:30 NAGPUR to NANDED via DIGRAS SEMI…
Parbhani to Pune,https://bustimings.in/msrtc/parbhani-pune/amp/,Dep. Time Route Name Bus service type 05:00 PARBHANI to SHIVAJI NAGAR PUNE DAY ORDINARY 08:15 BASMAT to CHINCHWAD via…
Solapur to Wardha,https://bustimings.in/msrtc/solapur-wardha/amp/,Dep. Time Route Name Bus service type 07:30 PANDHARPUR to NAGPUR SEMI LUXURY 15:00 SOLAPUR to NAGPUR SEMI LUXURY
Yavatmal to Wardha,https://bustimings.in/msrtc/yavatmal-to-wardha/amp/,Dep. Time Route Name Bus service type 05:30 MAHUR to TUMSAR ORDINARY EXPRESS 05:30 YAVATMAL to NAGPUR ORDINARY EXPRESS 05:45…
